"taxon"	"dataset"	"level"	"phase"	"val_min_gene_length"	"val_max_gene_length"	"val_mean_gene_length"	"val_num_samples"	"train_min_gene_length"	"train_max_gene_length"	"train_mean_gene_length"	"train_num_samples"	"min_gene_length"	"max_gene_length"	"mean_gene_length"	"num_samples"	"genus_confusion"	"species_confusion"
"Acrodipsas"	"Lycaenidae"	"genus"	"train"	550	658	631	4	505	658	590	5	505	658	608.222222222222	9	0	NA
"Acrodipsas_brisbanensis"	"Lycaenidae"	"species"	"train"	658	658	658	2	505	658	581.5	2	505	658	619.75	4	NA	0
"Acrodipsas_myrmecophila"	"Lycaenidae"	"species"	"train"	550	658	604	2	505	656	595.666666666667	3	505	658	599	5	NA	0
"Acytolepis"	"Lycaenidae"	"genus"	"train"	307	642	474.5	2	307	646	560.8	5	307	646	536.142857142857	7	0	NA
"Acytolepis_puspa"	"Lycaenidae"	"species"	"train"	307	642	474.5	2	307	646	560.8	5	307	646	536.142857142857	7	NA	0
"Adalia"	"Coccinellidae"	"genus"	"train"	658	658	658	4	307	658	628.018518518518	54	307	658	630.086206896552	58	0	NA
"Adalia_bipunctata"	"Coccinellidae"	"species"	"train"	658	658	658	2	307	658	626.395348837209	43	307	658	627.8	45	NA	0
"Adalia_decempunctata"	"Coccinellidae"	"species"	"train"	658	658	658	2	477	658	634.363636363636	11	477	658	638	13	NA	0
"Adenocaulon"	"Asteraceae"	"genus"	"train"	552	552	552	4	552	552	552	4	552	552	552	8	0	NA
"Adenocaulon_bicolor"	"Asteraceae"	"species"	"train"	552	552	552	4	552	552	552	4	552	552	552	8	NA	0
"Agriades"	"Lycaenidae"	"genus"	"train"	658	658	658	6	526	658	648.531914893617	94	526	658	649.1	100	0	NA
"Agriades_dardanus"	"Lycaenidae"	"species"	"train"	658	658	658	2	626	658	650	4	626	658	652.666666666667	6	NA	0
"Agriades_optilete"	"Lycaenidae"	"species"	"train"	658	658	658	2	526	658	646.533333333333	60	526	658	646.903225806452	62	NA	0
"Agriades_orbitulus"	"Lycaenidae"	"species"	"train"	658	658	658	2	548	658	652.333333333333	30	548	658	652.6875	32	NA	0
"Agropyron"	"Poaceae"	"genus"	"train"	552	603	577.5	4	553	603	582	14	552	603	581	18	0	NA
"Agropyron_cristatum"	"Poaceae"	"species"	"train"	552	603	577.5	4	553	603	582	14	552	603	581	18	NA	0
"Agrostis"	"Poaceae"	"genus"	"train"	547	553	550.571428571429	28	505	566	547.137254901961	102	505	566	547.876923076923	130	0.571428571428571	NA
"Agrostis_canina"	"Poaceae"	"species"	"train"	552	552	552	4	534	552	542.666666666667	6	534	552	546.4	10	NA	0.142857142857143
"Agrostis_capillaris"	"Poaceae"	"species"	"train"	549	549	549	4	542	549	546	14	542	549	546.666666666667	18	NA	0
"Agrostis_clavata"	"Poaceae"	"species"	"train"	547	553	550	4	505	547	533	6	505	553	539.8	10	NA	0.0714285714285714
"Agrostis_gigantea"	"Poaceae"	"species"	"train"	549	549	549	4	542	553	549.444444444444	18	542	553	549.363636363636	22	NA	0.142857142857143
"Agrostis_hyemalis"	"Poaceae"	"species"	"train"	552	553	552.5	4	521	552	536.5	4	521	553	544.5	8	NA	0
"Agrostis_scabra"	"Poaceae"	"species"	"train"	552	553	552.5	4	549	552	550.2	20	549	553	550.583333333333	24	NA	0.0714285714285714
"Agrostis_stolonifera"	"Poaceae"	"species"	"train"	549	549	549	4	542	566	549.117647058824	34	542	566	549.105263157895	38	NA	0.142857142857143
"Ainsliaea"	"Asteraceae"	"genus"	"train"	553	553	553	4	553	553	553	6	553	553	553	10	0	NA
"Ainsliaea_apiculata"	"Asteraceae"	"species"	"train"	553	553	553	4	553	553	553	6	553	553	553	10	NA	0
"Alopecurus"	"Poaceae"	"genus"	"train"	549	552	550.5	8	542	570	548.2	30	542	570	548.684210526316	38	0	NA
